Artist,Song,Explicit,Explicit_f,Year,Popularity,Popularity_f,Danceability,Energy,Speechiness,Acousticness,Liveness,Valence,Genre
Ava Max,Sweet but Psycho,0,FALSE,2018,0.2,20,0.719,0.704,0.0476,0.0691,0.166,0.628,pop
Lorde,Homemade Dynamite - REMIX,1,TRUE,2017,0.2,20,0.781,0.548,0.0764,0.229,0.127,0.175,"pop, Dance/Electronic"
Daddy Yankee,Gasolina,0,FALSE,2004,0.2,20,0.857,0.801,0.0618,0.332,0.0789,0.753,latin
Akon,Locked Up,1,TRUE,2004,0.2,20,0.818,0.579,0.101,0.023,0.107,0.354,pop
Camille Jones,The Creeps - Fedde Le Grand Radio Mix,0,FALSE,2006,0.2,20,0.847,0.861,0.0603,0.278,0.0626,0.724,set()
The Wanted,All Time Low,0,FALSE,2010,0.2,20,0.689,0.615,0.0563,0.352,0.0789,0.783,"pop, Dance/Electronic"
Akon,Lonely,1,TRUE,2004,0.21,21,0.629,0.532,0.0352,0.331,0.238,0.619,pop
Calvin Harris,Summer,0,FALSE,2014,0.21,21,0.603,0.861,0.0325,0.0215,0.1,0.72,"hip hop, pop, Dance/Electronic"
No Doubt,Hey Baby,0,FALSE,2001,0.24,24,0.705,0.872,0.125,0.0602,0.228,0.746,"rock, pop"
No Doubt,Hella Good,0,FALSE,2001,0.26,26,0.771,0.665,0.035,0.0135,0.0903,0.844,"rock, pop"
Usher,Pop Ya Collar - Radio Edit,0,FALSE,2016,0.26,26,0.888,0.8,0.0946,0.0901,0.229,0.866,"hip hop, pop, R&B"
No Doubt,Underneath It All,0,FALSE,2001,0.27,27,0.729,0.731,0.0684,0.232,0.391,0.839,"rock, pop"
Duke Dumont,Need U (100%) [feat. A*M*E] - Radio Edit,0,FALSE,2013,0.27,27,0.681,0.835,0.049,0.00176,0.354,0.469,"pop, Dance/Electronic"
Akon,Bananza (Belly Dancer),0,FALSE,2004,0.28,28,0.878,0.699,0.132,0.0345,0.755,0.666,pop
K-Ci & JoJo,Crazy,0,FALSE,2019,0.3,30,0.68,0.644,0.0258,0.084,0.549,0.484,"pop, R&B"
Hinder,Better Than Me,0,FALSE,2019,0.3,30,0.451,0.682,0.029,0.205,0.175,0.254,"pop, rock, metal"
Mary J. Blige,Rainy Dayz,0,FALSE,2001,0.32,32,0.412,0.667,0.229,0.195,0.305,0.533,"pop, R&B"
3OH!3,Starstrukk,0,FALSE,2010,0.32,32,0.605,0.795,0.0712,0.00153,0.207,0.263,"hip hop, pop, rock"
Lost Frequencies,Are You With Me - Radio Edit,0,FALSE,2014,0.33,33,0.776,0.574,0.0317,0.466,0.131,0.412,"pop, Dance/Electronic"
Robbie Williams,Radio,0,FALSE,2004,0.33,33,0.607,0.874,0.0349,0.00331,0.26,0.846,"pop, rock"
